freq,psd_x,psd_y,psd_z,psd_xyz
181.7,1.547e+03,1.716e+03,3.251e+03,6.513e+03
183.3,1.444e+03,1.853e+03,2.862e+03,6.159e+03
184.9,1.315e+03,1.934e+03,2.490e+03,5.739e+03
186.5,1.291e+03,2.001e+03,2.302e+03,5.594e+03
188.1,1.205e+03,1.941e+03,2.082e+03,5.228e+03
189.7,1.048e+03,1.777e+03,1.712e+03,4.538e+03
191.3,1.011e+03,1.764e+03,1.435e+03,4.210e+03
192.9,1.006e+03,1.681e+03,1.263e+03,3.950e+03
194.5,8.855e+02,1.398e+03,1.103e+03,3.386e+03
196.1,7.505e+02,1.110e+03,1.049e+03,2.909e+03
197.6,7.047e+02,9.330e+02,1.230e+03,2.867e+03
199.2,6.492e+02,8.319e+02,1.464e+03,2.945e+03
