freq,psd_x,psd_y,psd_z,psd_xyz
173.7,1.096e+04,6.061e+03,3.272e+04,4.974e+04
175.3,1.064e+04,5.269e+03,3.140e+04,4.731e+04
176.9,1.015e+04,4.491e+03,2.971e+04,4.435e+04
178.5,9.489e+03,3.879e+03,2.792e+04,4.129e+04
180.1,8.959e+03,3.534e+03,2.625e+04,3.874e+04
181.7,8.330e+03,3.377e+03,2.428e+04,3.598e+04
183.3,7.512e+03,3.014e+03,2.181e+04,3.233e+04
184.9,6.500e+03,2.687e+03,1.901e+04,2.819e+04
186.5,5.588e+03,2.401e+03,1.665e+04,2.464e+04
188.1,4.696e+03,2.033e+03,1.446e+04,2.119e+04
189.7,4.222e+03,1.517e+03,1.352e+04,1.926e+04
191.3,4.651e+03,1.211e+03,1.470e+04,2.057e+04
192.9,5.082e+03,1.217e+03,1.531e+04,2.161e+04
194.5,5.441e+03,1.253e+03,1.623e+04,2.292e+04
196.1,5.210e+03,1.130e+03,1.545e+04,2.180e+04
197.7,4.748e+03,1.002e+03,1.359e+04,1.934e+04
199.2,4.938e+03,1.059e+03,1.454e+04,2.054e+04
