freq,psd_x,psd_y,psd_z,psd_xyz
78.2,7.386e+02,2.634e+04,8.302e+02,2.791e+04
79.8,1.180e+03,2.733e+04,1.613e+03,3.012e+04
81.4,1.637e+03,2.790e+04,2.251e+03,3.178e+04
83.0,1.929e+03,2.804e+04,2.263e+03,3.223e+04
84.6,1.748e+03,2.448e+04,1.635e+03,2.786e+04
86.2,1.417e+03,2.250e+04,1.052e+03,2.497e+04
87.8,1.430e+03,2.555e+04,1.350e+03,2.833e+04
89.4,1.400e+03,2.501e+04,1.781e+03,2.819e+04
91.0,1.292e+03,2.147e+04,1.807e+03,2.457e+04
92.6,1.134e+03,1.857e+04,1.602e+03,2.130e+04
94.1,9.842e+02,1.696e+04,1.532e+03,1.948e+04
95.7,9.079e+02,1.541e+04,1.813e+03,1.813e+04
97.3,7.890e+02,1.258e+04,1.449e+03,1.482e+04
98.9,7.111e+02,1.092e+04,1.151e+03,1.278e+04
100.5,6.524e+02,1.051e+04,1.030e+03,1.219e+04
102.1,6.211e+02,9.859e+03,7.336e+02,1.121e+04
103.7,6.223e+02,9.775e+03,6.360e+02,1.103e+04
105.3,5.637e+02,9.848e+03,5.727e+02,1.098e+04
106.9,5.023e+02,9.745e+03,4.270e+02,1.067e+04
108.5,5.006e+02,1.048e+04,2.971e+02,1.128e+04
110.1,4.901e+02,1.146e+04,2.633e+02,1.222e+04
111.7,4.236e+02,1.162e+04,2.638e+02,1.231e+04
113.3,3.563e+02,1.141e+04,2.094e+02,1.198e+04
114.9,2.989e+02,1.113e+04,1.797e+02,1.161e+04
116.5,2.733e+02,1.118e+04,1.875e+02,1.164e+04
118.1,2.778e+02,1.173e+04,2.157e+02,1.222e+04
119.7,3.301e+02,1.224e+04,2.766e+02,1.284e+04
121.3,4.357e+02,1.199e+04,3.915e+02,1.281e+04
122.9,6.279e+02,1.204e+04,6.262e+02,1.330e+04
124.5,7.245e+02,1.271e+04,7.615e+02,1.420e+04
126.1,7.155e+02,1.326e+04,7.985e+02,1.477e+04
127.7,7.208e+02,1.325e+04,1.054e+03,1.502e+04
129.3,7.354e+02,1.468e+04,1.370e+03,1.678e+04
130.8,6.407e+02,1.453e+04,1.211e+03,1.639e+04
132.4,6.708e+02,1.092e+04,1.381e+03,1.297e+04
134.0,7.621e+02,4.448e+03,1.783e+03,6.993e+03
135.6,6.604e+02,3.022e+03,1.697e+03,5.380e+03
137.2,5.866e+02,3.009e+03,1.576e+03,5.172e+03
138.8,5.773e+02,2.793e+03,1.601e+03,4.971e+03
140.4,6.110e+02,2.671e+03,1.781e+03,5.063e+03
142.0,6.285e+02,2.527e+03,1.894e+03,5.050e+03
143.6,6.054e+02,2.143e+03,1.750e+03,4.498e+03
145.2,4.874e+02,2.006e+03,1.417e+03,3.910e+03
146.8,3.452e+02,2.026e+03,1.138e+03,3.510e+03
148.4,2.681e+02,1.923e+03,9.328e+02,3.124e+03
150.0,2.457e+02,1.874e+03,8.860e+02,3.006e+03
151.6,2.186e+02,2.062e+03,7.458e+02,3.026e+03
153.2,3.217e+02,2.024e+03,7.620e+02,3.107e+03
154.8,6.131e+02,1.636e+03,1.308e+03,3.557e+03
156.4,7.837e+02,1.286e+03,1.855e+03,3.925e+03
158.0,8.335e+02,9.980e+02,2.010e+03,3.842e+03
159.6,7.144e+02,6.988e+02,1.776e+03,3.189e+03
161.2,5.434e+02,6.175e+02,1.437e+03,2.598e+03
162.8,2.487e+02,6.989e+02,6.420e+02,1.590e+03
164.4,1.670e+02,8.526e+02,4.485e+02,1.468e+03
166.0,1.805e+02,9.905e+02,4.825e+02,1.654e+03
167.5,2.695e+02,1.028e+03,7.027e+02,2.000e+03
169.1,4.026e+02,9.343e+02,1.022e+03,2.359e+03
170.7,4.714e+02,7.857e+02,1.069e+03,2.327e+03
172.3,5.535e+02,7.590e+02,1.266e+03,2.579e+03
173.9,5.547e+02,7.848e+02,1.351e+03,2.690e+03
175.5,5.473e+02,7.686e+02,1.405e+03,2.720e+03
177.1,5.986e+02,8.184e+02,1.615e+03,3.032e+03
178.7,6.783e+02,9.409e+02,1.838e+03,3.457e+03
180.3,7.520e+02,1.044e+03,1.994e+03,3.790e+03
181.9,9.423e+02,1.026e+03,2.287e+03,4.255e+03
183.5,1.060e+03,8.587e+02,2.395e+03,4.313e+03
185.1,1.016e+03,7.398e+02,2.277e+03,4.033e+03
186.7,8.982e+02,6.684e+02,1.984e+03,3.550e+03
188.3,7.665e+02,6.380e+02,1.699e+03,3.103e+03
189.9,6.344e+02,6.217e+02,1.486e+03,2.742e+03
191.5,5.106e+02,7.186e+02,1.314e+03,2.543e+03
193.1,4.170e+02,7.255e+02,1.056e+03,2.198e+03
194.7,3.628e+02,6.881e+02,9.808e+02,2.032e+03
196.3,3.600e+02,6.939e+02,9.484e+02,2.002e+03
197.9,3.860e+02,6.998e+02,8.926e+02,1.978e+03
199.5,4.842e+02,7.180e+02,1.207e+03,2.409e+03
