freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.738e+01,1.253e+02,9.107e+00,1.618e+02
1.6,2.654e+01,8.068e+01,3.796e+01,1.452e+02
3.2,1.383e+01,2.265e+01,4.657e+01,8.305e+01
4.8,1.302e+01,2.111e+02,4.796e+01,2.720e+02
6.4,1.312e+01,6.361e+02,4.672e+01,6.960e+02
8.0,1.323e+01,9.308e+02,4.728e+01,9.913e+02
9.6,1.380e+01,1.441e+03,4.870e+01,1.503e+03
11.2,1.275e+01,2.221e+03,4.805e+01,2.282e+03
12.8,1.300e+01,3.156e+03,4.805e+01,3.217e+03
14.4,1.228e+01,4.326e+03,4.700e+01,4.386e+03
16.0,1.641e+01,5.793e+03,4.566e+01,5.855e+03
17.6,2.484e+01,7.562e+03,4.857e+01,7.636e+03
19.1,3.934e+01,1.003e+04,4.754e+01,1.012e+04
20.7,6.362e+01,1.355e+04,4.619e+01,1.366e+04
22.3,8.798e+01,1.816e+04,4.699e+01,1.829e+04
23.9,1.098e+02,2.454e+04,5.033e+01,2.470e+04
25.5,1.839e+02,3.318e+04,4.829e+01,3.342e+04
27.1,5.672e+02,4.515e+04,4.873e+01,4.576e+04
28.7,2.703e+03,6.433e+04,1.006e+02,6.714e+04
30.3,9.290e+03,7.391e+04,3.731e+02,8.358e+04
31.9,1.963e+04,5.608e+04,4.753e+02,7.618e+04
33.5,2.886e+04,3.724e+04,5.274e+02,6.663e+04
35.1,3.895e+04,4.117e+04,1.147e+03,8.126e+04
36.7,3.683e+04,5.055e+04,1.508e+03,8.889e+04
38.3,3.270e+04,4.889e+04,8.670e+02,8.246e+04
39.9,3.623e+04,6.316e+04,8.377e+02,1.002e+05
41.5,4.199e+04,9.215e+04,7.892e+02,1.349e+05
43.1,4.766e+04,1.364e+05,9.463e+02,1.850e+05
44.7,4.763e+04,1.682e+05,1.371e+03,2.172e+05
46.3,4.020e+04,1.598e+05,1.221e+03,2.012e+05
47.9,3.489e+04,1.488e+05,7.869e+02,1.845e+05
49.5,2.905e+04,1.315e+05,3.194e+02,1.609e+05
51.1,2.138e+04,1.066e+05,1.874e+02,1.282e+05
52.7,1.555e+04,8.823e+04,2.017e+02,1.040e+05
54.3,1.112e+04,7.077e+04,3.284e+02,8.222e+04
55.8,8.721e+03,6.009e+04,3.064e+02,6.912e+04
57.4,7.496e+03,5.300e+04,3.656e+02,6.086e+04
59.0,7.584e+03,4.766e+04,9.669e+02,5.621e+04
60.6,8.317e+03,4.267e+04,2.146e+03,5.314e+04
62.2,8.398e+03,3.549e+04,3.021e+03,4.691e+04
63.8,7.553e+03,2.783e+04,2.423e+03,3.780e+04
65.4,5.372e+03,2.577e+04,1.308e+03,3.245e+04
67.0,3.651e+03,2.527e+04,1.475e+03,3.040e+04
68.6,2.751e+03,2.414e+04,1.763e+03,2.866e+04
70.2,1.818e+03,2.342e+04,1.936e+03,2.718e+04
71.8,1.148e+03,2.383e+04,2.174e+03,2.715e+04
73.4,6.723e+02,2.409e+04,2.100e+03,2.687e+04
75.0,4.824e+02,2.437e+04,1.372e+03,2.623e+04
76.6,5.126e+02,2.525e+04,7.116e+02,2.647e+04
