freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.471e+01,2.786e+01,1.265e+02,1.691e+02
1.6,4.352e+01,1.403e+02,1.063e+02,2.901e+02
3.2,5.368e+01,1.323e+02,5.752e+01,2.435e+02
4.8,6.029e+01,9.510e+01,2.347e+02,3.901e+02
6.4,4.838e+01,7.989e+01,6.347e+02,7.630e+02
8.0,4.403e+01,6.526e+01,1.014e+03,1.123e+03
9.6,4.413e+01,7.385e+01,1.454e+03,1.572e+03
11.2,4.973e+01,8.062e+01,1.966e+03,2.097e+03
12.8,4.860e+01,7.553e+01,2.596e+03,2.720e+03
14.4,4.194e+01,7.121e+01,3.383e+03,3.496e+03
16.0,4.021e+01,7.054e+01,4.382e+03,4.493e+03
17.6,5.256e+01,8.213e+01,5.434e+03,5.569e+03
19.2,5.849e+01,9.337e+01,6.732e+03,6.884e+03
20.7,5.833e+01,8.690e+01,8.215e+03,8.361e+03
22.3,5.036e+01,8.001e+01,9.717e+03,9.847e+03
23.9,4.266e+01,7.636e+01,1.182e+04,1.193e+04
25.5,4.745e+01,1.022e+02,1.451e+04,1.466e+04
27.1,5.904e+01,1.523e+02,1.800e+04,1.822e+04
28.7,7.167e+01,1.768e+02,2.257e+04,2.281e+04
30.3,1.289e+02,1.942e+02,2.860e+04,2.892e+04
31.9,2.632e+02,2.595e+02,3.700e+04,3.752e+04
33.5,4.162e+02,3.732e+02,4.529e+04,4.608e+04
35.1,5.855e+02,5.269e+02,5.904e+04,6.015e+04
36.7,6.480e+02,6.908e+02,7.893e+04,8.027e+04
38.3,1.114e+03,1.493e+03,9.249e+04,9.510e+04
39.9,3.191e+03,3.218e+03,9.231e+04,9.872e+04
41.5,5.554e+03,4.492e+03,7.940e+04,8.944e+04
43.1,6.615e+03,4.457e+03,6.979e+04,8.086e+04
44.7,6.515e+03,3.662e+03,6.487e+04,7.504e+04
46.3,6.394e+03,2.407e+03,7.000e+04,7.880e+04
47.9,7.110e+03,3.454e+03,8.215e+04,9.271e+04
49.5,8.152e+03,7.515e+03,9.907e+04,1.147e+05
51.1,7.822e+03,1.155e+04,1.111e+05,1.304e+05
52.7,6.759e+03,1.586e+04,1.219e+05,1.445e+05
54.3,5.041e+03,1.983e+04,1.339e+05,1.588e+05
55.9,3.698e+03,2.303e+04,1.406e+05,1.673e+05
57.5,3.782e+03,3.123e+04,1.662e+05,2.012e+05
59.1,3.973e+03,3.899e+04,1.786e+05,2.216e+05
60.7,3.332e+03,3.404e+04,1.581e+05,1.955e+05
62.2,2.245e+03,2.900e+04,1.377e+05,1.689e+05
63.8,1.065e+03,3.172e+04,1.226e+05,1.554e+05
65.4,5.357e+02,2.594e+04,9.696e+04,1.234e+05
67.0,6.637e+02,2.052e+04,8.024e+04,1.014e+05
68.6,1.212e+03,2.176e+04,7.352e+04,9.650e+04
70.2,1.251e+03,2.171e+04,5.520e+04,7.815e+04
71.8,1.287e+03,1.859e+04,3.878e+04,5.866e+04
73.4,1.605e+03,1.590e+04,2.995e+04,4.745e+04
75.0,1.727e+03,1.318e+04,2.437e+04,3.928e+04
76.6,1.884e+03,1.167e+04,2.122e+04,3.478e+04
78.2,2.527e+03,1.416e+04,2.054e+04,3.722e+04
79.8,3.501e+03,1.997e+04,2.053e+04,4.400e+04
81.4,4.142e+03,2.286e+04,1.862e+04,4.562e+04
83.0,4.191e+03,2.240e+04,1.572e+04,4.231e+04
84.6,3.284e+03,1.878e+04,1.388e+04,3.594e+04
86.2,2.998e+03,1.719e+04,1.225e+04,3.244e+04
87.8,4.026e+03,2.293e+04,9.740e+03,3.669e+04
89.4,4.643e+03,2.597e+04,7.362e+03,3.797e+04
91.0,5.140e+03,2.717e+04,5.902e+03,3.821e+04
92.6,5.483e+03,2.663e+04,4.584e+03,3.669e+04
94.2,6.528e+03,2.428e+04,3.426e+03,3.423e+04
95.8,8.193e+03,2.077e+04,3.316e+03,3.228e+04
97.4,9.282e+03,1.656e+04,4.924e+03,3.077e+04
99.0,9.532e+03,1.576e+04,6.237e+03,3.153e+04
100.6,1.024e+04,1.793e+04,5.654e+03,3.383e+04
102.2,1.074e+04,2.025e+04,4.300e+03,3.529e+04
103.7,1.237e+04,2.238e+04,3.973e+03,3.872e+04
105.3,1.464e+04,2.408e+04,5.264e+03,4.399e+04
106.9,1.518e+04,2.789e+04,6.494e+03,4.956e+04
108.5,1.522e+04,3.324e+04,7.110e+03,5.557e+04
