freq,psd_x,psd_y,psd_z,psd_xyz
110.1,1.640e+04,3.831e+04,8.000e+03,6.272e+04
111.7,1.880e+04,4.589e+04,1.018e+04,7.487e+04
113.3,2.167e+04,5.798e+04,1.436e+04,9.402e+04
114.9,2.426e+04,7.239e+04,2.058e+04,1.172e+05
116.5,2.665e+04,8.984e+04,2.730e+04,1.438e+05
118.1,2.820e+04,1.064e+05,3.298e+04,1.675e+05
119.7,3.039e+04,1.175e+05,3.973e+04,1.876e+05
121.3,3.313e+04,1.315e+05,5.056e+04,2.152e+05
122.9,3.599e+04,1.455e+05,6.108e+04,2.426e+05
124.5,4.012e+04,1.507e+05,7.314e+04,2.640e+05
126.1,4.926e+04,1.488e+05,9.483e+04,2.929e+05
127.7,6.347e+04,1.381e+05,1.268e+05,3.284e+05
129.3,8.301e+04,1.343e+05,1.754e+05,3.927e+05
130.9,1.055e+05,1.368e+05,2.387e+05,4.810e+05
132.5,9.080e+04,1.030e+05,2.136e+05,4.074e+05
134.1,2.058e+04,2.983e+04,5.374e+04,1.041e+05
135.7,6.962e+03,1.573e+04,2.230e+04,4.498e+04
137.3,8.246e+03,1.629e+04,2.637e+04,5.091e+04
138.9,8.620e+03,1.492e+04,2.789e+04,5.143e+04
140.5,8.487e+03,1.215e+04,2.819e+04,4.882e+04
142.1,8.983e+03,1.071e+04,2.952e+04,4.921e+04
143.6,9.061e+03,9.120e+03,2.855e+04,4.673e+04
145.2,9.390e+03,7.612e+03,2.717e+04,4.417e+04
146.8,1.085e+04,5.886e+03,2.867e+04,4.541e+04
148.4,1.378e+04,4.312e+03,3.487e+04,5.296e+04
150.0,1.763e+04,4.007e+03,4.492e+04,6.656e+04
151.6,2.158e+04,4.806e+03,5.591e+04,8.229e+04
153.2,2.468e+04,6.015e+03,6.570e+04,9.639e+04
154.8,2.790e+04,7.625e+03,7.560e+04,1.111e+05
156.4,2.678e+04,8.039e+03,7.136e+04,1.062e+05
158.0,2.584e+04,8.307e+03,6.766e+04,1.018e+05
159.6,2.551e+04,9.235e+03,6.701e+04,1.018e+05
161.2,2.387e+04,9.861e+03,6.318e+04,9.692e+04
162.8,2.275e+04,9.933e+03,5.982e+04,9.249e+04
164.4,2.232e+04,9.922e+03,5.894e+04,9.118e+04
166.0,2.273e+04,1.039e+04,6.097e+04,9.409e+04
167.6,2.131e+04,1.062e+04,5.732e+04,8.925e+04
169.2,1.798e+04,1.003e+04,4.841e+04,7.643e+04
170.8,1.478e+04,8.951e+03,3.999e+04,6.373e+04
172.4,1.276e+04,7.923e+03,3.445e+04,5.514e+04
174.0,1.190e+04,7.200e+03,3.188e+04,5.098e+04
175.6,1.197e+04,6.680e+03,3.237e+04,5.102e+04
177.2,1.216e+04,6.254e+03,3.328e+04,5.170e+04
178.8,1.213e+04,5.778e+03,3.345e+04,5.135e+04
180.4,1.135e+04,4.895e+03,3.134e+04,4.759e+04
182.0,1.069e+04,3.559e+03,2.876e+04,4.301e+04
183.6,1.013e+04,2.822e+03,2.700e+04,3.996e+04
185.1,9.352e+03,2.318e+03,2.507e+04,3.674e+04
186.7,9.140e+03,1.993e+03,2.523e+04,3.636e+04
188.3,8.762e+03,1.774e+03,2.465e+04,3.518e+04
189.9,8.006e+03,1.600e+03,2.190e+04,3.151e+04
191.5,7.811e+03,1.599e+03,2.215e+04,3.156e+04
193.1,7.310e+03,1.346e+03,2.135e+04,3.000e+04
194.7,7.121e+03,1.169e+03,2.041e+04,2.870e+04
196.3,6.651e+03,1.153e+03,1.911e+04,2.691e+04
197.9,6.702e+03,1.151e+03,1.897e+04,2.682e+04
199.5,6.432e+03,1.106e+03,1.747e+04,2.501e+04
